queriedAccount,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739389023118,2025-02-12T19:37:03.118Z,0xf33cf850a39d32d16cad041da37032020105004bbb0015723e5126dbadaa7c01,spotTransfer,USDC,9540.99,9540.99,0x89da619c7e13be65127401de8e62360f9dcaf82a,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739390241738,2025-02-12T19:57:21.738Z,0xa7a3a7bf679bda418c15041da3a53b02019400bdc677f0a94ae3c2fb53eb2633,spotTransfer,USDC,199.93,199.93,0x38116e4ba2297c23210be176687d3fb58a55bc01,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739422316812,2025-02-13T04:51:56.812Z,0x6a2c2f5ae8ed06e42c85041da9220302010c0067bd1a3b9b9f39a87f85406e53,spotTransfer,USDC,0.1,0.1,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739424025109,2025-02-13T05:20:25.109Z,0x5d8e4e8826ff6646ee47041da973c102012d00a0f501839c08f88a1469aadb9f,spotTransfer,USDC,100.0,100.0,0x1f4e4f07a0cf59b916cb2e338b92fe75b6ed8338,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739432695730,2025-02-13T07:44:55.730Z,0xbd8825a10210794e354d041dab109b01e500b15a0864f85f7559f0a27eb16576,spotTransfer,USDC,5005.4559801,5005.45598,0xd0e9e2a416c99e17b07d0438810fff334f57b8ad,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739435687914,2025-02-13T08:34:47.914Z,0x323093336b0c6f34246f041dab9f2601b3009073a48f02c8dbd41798b1bbb711,internalTransfer,USDC,1.23,1.23,0x5eeaf1afe5e95013c785412fe462000070b9cccc,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739435874479,2025-02-13T08:37:54.479Z,0x4eb9bb17b98e2edeaa54041daba830020106006b53bc25d5e11ce6458e88ddcf,internalTransfer,USDC,144998.76,144998.76,0x5eeaf1afe5e95013c785412fe462000070b9cccc,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739436982609,2025-02-13T08:56:22.609Z,0x4722723e5c7827235811041dabddb00177007e0a30e20bd469c67bdcd48b7757,spotTransfer,USDC,250.0,250.0,0x521448fd2b002c31a97d56f3a275238de0976cd0,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739441355454,2025-02-13T10:09:15.454Z,0xbae165d1ed5b8171e9d9041dacae07017d00991c4929e3730526ba2f1069c5c4,spotTransfer,USDC,350.0,350.0,0xbf4edd7ebd30110e2c6243ea56eb6f304924000d,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739441647032,2025-02-13T10:14:07.032Z,0x330593700195b2405ee1041dacbcbb0177009b39e34dab071f6116b78e11f1d0,spotTransfer,USDC,0.7,0.7,0xd19f546b4941936995937fea56a8413f1397bd88,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739442040603,2025-02-13T10:20:40.603Z,0xf223d887348b5acadfda041daccf1402012700d53087643b75cc98886ee44e04,spotTransfer,USDC,0.00008608,0.000086,0x4b397f312fd629a44747f63099fe45ed29d35efa,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739442113239,2025-02-13T10:21:53.239Z,0x250212a74f63e6e90e4c041dacd29d01ee0038e968f9163c1d60c9042c2a8205,spotTransfer,USDC,922.43,922.43,0x4b397f312fd629a44747f63099fe45ed29d35efa,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739442417745,2025-02-13T10:26:57.745Z,0x4e296571437cab149e58041dace0ed0163006624c18bc7ae0daebc0a4ed116f4,spotTransfer,USDC,53.7862677,53.786267,0xbb0681e131d704cb86bda625a730c7866e262a3a,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739443631480,2025-02-13T10:47:11.480Z,0x12baf2961600e10e7cc7041dad1983020168001932bf560a326babfbce2e0e4b,spotTransfer,USDC,109.18,109.18,0xfa70667fba693254d0f93242ab51b4830f7125d6,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739446197325,2025-02-13T11:29:57.325Z,0x091237729afd8eb4867c041dad91e60199009e2582a0a30137bf3d7eba6ef9c3,spotTransfer,USDC,200.0,200.0,0x4941903e504321615f51c77e5399cf23db6a84d6,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739446449684,2025-02-13T11:34:09.684Z,0xf231d7a3c55ce35329a8041dad9e1302017200690bf926b578931b3e741c321e,spotTransfer,USDC,100.0,100.0,0x4941903e504321615f51c77e5399cf23db6a84d6,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739458310970,2025-02-13T14:51:50.970Z,0xed80ae312511551bfc6c041dafda01014000a22d3717d978f4d3af54e6cc2d29,spotTransfer,USDC,100.86399787,100.863997,0xa9cb8b0bc9c71565daece74b574de54ba58473ee,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739463765594,2025-02-13T16:22:45.594Z,0x0feb47e93307afda24e2041db0e699017b00d02267889b1886f9165c19d57225,spotTransfer,USDC,58.21774362,58.217743,0x3172aee5e0b47bb23e87db93327f58e06e6a73b6,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
